units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
which player has more rebounds per season than e0	SW.filter var-s SW.ensureNumericProperty string-num_rebounds  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_rebounds ) ) ( SW.domain string-player ) ) string-player
players that have more and less than 3 blocks over seasons	SW.filter var-s string-num_blocks string-!= number3 block ( SW.domain string-player ) ) string-player
what team did e0 get 3 rebounds in	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-team
what player had more blocks than e0 whose number of blocks is 3	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-season
how many assists does e0 usually make in a season after hes made at least 3	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_assists
what players made more steals than e0 made over a season	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_blocks ) ) ( SW.domain string-player ) ) string-player
players that play the same position as e0	SW.filter var-s string-position string-= ( SW.getProperty string-player  string-position ) ( SW.domain string-player ) ) string-player
how many blocks did e0 make during seasons where he made 3 assists	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_blocks
which players play no more than two positions	SW.countComparative var-s string-position string-<= number2 ( SW.domain string-player ) ) string-player
how many assists did e0 get when he was in the position of e1	SW.getProperty ( SW.filter string-player  string-position string-= e1 ) string-num_assists
which players plays in two positions	SW.countComparative var-s string-position string-<= number2 ( SW.domain string-player ) ) string-player
what seasons did e0 play in	SW.filter var-s string-season string-= ( SW.getProperty string-player  string-season ) ( SW.domain string-player ) ) string-player
during the season in which e0 had 3 turnovers how many blocks was responsible for	SW.getProperty ( SW.filter string-player  string-num_turnovers string-= number3 turnover ) string-num_blocks
what team did e0 score 3 points for	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-team
mention the number of turnovers of player e0 in 3 games played over this season	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-num_turnovers
what player scored more points than e0 this season	SW.filter var-s SW.ensureNumericProperty string-num_points  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_points ) ) ( SW.domain string-player ) ) string-player
how many positions are there	.size entity-en.position
how many blocks did e0 have in a game where he had three turnovers	SW.getProperty ( SW.filter string-player  string-num_turnovers string-= number3 turnover ) string-num_blocks
how many games did e0 play in the d1 season	SW.getProperty ( SW.filter string-player  string-season string-= d1 ) string-num_games_played
how many seasons have e0 played	SW.getProperty string-player  string-season
player whose number of assists over a season is more than that of  of player e0 over a season	SW.filter var-s SW.ensureNumericProperty string-num_assists  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_assists ) ) ( SW.domain string-player ) ) string-player
which player has the fewest fouls per season	SW.superlative var-s string-min SW.ensureNumericProperty string-num_fouls  ( SW.domain string-player ) ) string-player
what player had 3 or less points this season	SW.filter var-s SW.ensureNumericProperty string-num_points  string-<= ( SW.ensureNumericEntity number3 point ) ( SW.domain string-player ) ) string-player
how blocks did  did e0 make after playing 3 fouls	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-num_blocks
players that played on the same team as e0	SW.filter var-s string-team string-= ( SW.getProperty string-player  string-team ) ( SW.domain string-player ) ) string-player
what players did not score more than three points in a season	SW.filter var-s SW.ensureNumericProperty string-num_points  string-<= ( SW.ensureNumericEntity number3 point ) ( SW.domain string-player ) ) string-player
during the season in which his point tally was 3 how many games was e0 in	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-num_games_played
how many steals did e0 make	SW.getProperty string-player  string-num_steals
number of played games over a season of player e0 with 3 points over a season	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-num_games_played
how many rebounds were  got by e0 in d1	SW.getProperty ( SW.filter string-player  string-season string-= d1 ) string-num_rebounds
which player had the most career blocks per season	SW.superlative var-s string-max SW.ensureNumericProperty string-num_blocks  ( SW.domain string-player ) ) string-player
which player has the minimum number of blocks of e0	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_blocks ) ) ( SW.domain string-player ) ) string-player
how many assists has e0 had with three steals	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-num_assists
what is the position of player e0 with 3 rebounds over this season	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-position
season of player e0 from e1 team	SW.getProperty ( SW.filter string-player  string-team string-= e1 ) string-season
how many rebounds did e0 make in seasons where he made 3 fouls	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-num_rebounds
how many games did e0 play where he made three assists	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_games_played
e0 played in the season d1	SW.getProperty ( SW.filter string-player  string-season string-= d1 ) string-season
number of assists over a season of player e0 from season d1	SW.getProperty ( SW.filter string-player  string-season string-= d1 ) string-num_assists
in how many games has e0 made 3 blocks	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_games_played
how many threepoint turnovers did e0 have	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-num_turnovers
number of rebounds over a season of player e0 with 3 blocks over a season	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_rebounds
what players made less turnovers than e0 over a season	SW.filter var-s SW.ensureNumericProperty string-num_turnovers  string-< ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_turnovers ) ) ( SW.domain string-player ) ) string-player
how many assists e0 made over a season	SW.getProperty string-player  string-num_assists
how many points did e0 score while playing for the e1	SW.getProperty ( SW.filter string-player  string-team string-= e1 ) string-num_points
what team will e0 be on this year	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-team
what player has as much steals as e0 made over a season	SW.filter var-s string-num_steals string-= ( SW.getProperty string-player  string-num_steals ) ( SW.domain string-player ) ) string-player
who has played 3 or less games	SW.filter var-s SW.ensureNumericProperty string-num_games_played  string-<= ( SW.ensureNumericEntity number3 game ) ( SW.domain string-player ) ) string-player
what player played less than 4 games over a season	SW.filter var-s SW.ensureNumericProperty string-num_games_played  string-<= ( SW.ensureNumericEntity number3 game ) ( SW.domain string-player ) ) string-player
how many fouls did e0 have this season	SW.getProperty string-player  string-num_fouls
what player had more blocks than e0 whose number of points is 3	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-num_points
number of points over a season of player e0 who has 3 blocks over a season	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_points
who had few steals over the season than e0	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-< ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_steals ) ) ( SW.domain string-player ) ) string-player
how many steals did e0 make during a season while playing for the e1	SW.getProperty ( SW.filter string-player  string-team string-= e1 ) string-num_steals
has e0 averaged 3 fouls and 3 blocks per game over a season	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-num_blocks
in what season did e0 score a total of 3 assists	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-season
player with assists over a season not less than that of player e0	SW.filter var-s SW.ensureNumericProperty string-num_assists  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_assists ) ) ( SW.domain string-player ) ) string-player
how many points did e0 score during a season	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-num_points
whos a player with less games played than e0	SW.filter var-s SW.ensureNumericProperty string-num_games_played  string-<= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_games_played ) ) ( SW.domain string-player ) ) string-player
e0 played three games	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-num_games_played
what players are point guards or forwards	SW.filter var-s string-position string-= SW.concat ( SW.domain string-player ) ) string-player
how many fouls did e0 have in the season in which he played e1	SW.getProperty ( SW.filter string-player  string-position string-= e1 ) string-num_fouls
what teams did e0 play on as e1	SW.getProperty ( SW.filter string-player  string-position string-= e1 ) string-team
what position does e0 who has three steals play	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-position
position of player e0 who has played 3 games over a season	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-position
name a player with fewer than three steals	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-< ( SW.ensureNumericEntity number3 steal ) ( SW.domain string-player ) ) string-player
how many turnovers did e0 have when he played in three games	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-num_turnovers
what position is e0	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-position
who has had less than 3 assists	SW.filter var-s SW.ensureNumericProperty string-num_assists  string-< ( SW.ensureNumericEntity number3 assist ) ( SW.domain string-player ) ) string-player
name a player who had at least as many assists as e0	SW.filter var-s SW.ensureNumericProperty string-num_assists  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_assists ) ) ( SW.domain string-player ) ) string-player
what is the number of blocks by e0 who made 3 rebounds over the season	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-num_blocks
when e0 had 3 allseason assists how many rebounds did he have	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_rebounds
which players are not point guards	SW.filter var-s string-position string-!= en.position.point_guard ( SW.domain string-player ) ) string-player
what players had more steals than e0 over all seasons	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_steals ) ) ( SW.domain string-player ) ) string-player
during the season in which e0 managed 3 assists how many games did he play in	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_games_played
note the players whose total number of rebounds in any one given season is more than 3	SW.filter var-s SW.ensureNumericProperty string-num_rebounds  string-> ( SW.ensureNumericEntity number3 rebound ) ( SW.domain string-player ) ) string-player
during the season in which he was responsible for 3 steals what was the name of the team e0 was on	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-team
98019705layers with the fewest turnovers per game during the season	SW.superlative var-s string-min SW.ensureNumericProperty string-num_turnovers  ( SW.domain string-player ) ) string-player
how many rebounds did e0 make when his total blocks over a season was 3	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_rebounds
name the player who has scored the most points in a season	SW.superlative var-s string-max SW.ensureNumericProperty string-num_points  ( SW.domain string-player ) ) string-player
what team did e0 play on when he had 3 assists	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-team
how many games has e0 played and hasnt scored a 3	SW.filter var-s string-num_games_played string-!= number3 game ( SW.domain string-player ) ) string-player
how many turnovers has e0 had	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-num_steals
which player has a maximum of 3 blocks	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-<= ( SW.ensureNumericEntity number3 block ) ( SW.domain string-player ) ) string-player
how many points e0 made in the season in which he played for e1	SW.getProperty ( SW.filter string-player  string-team string-= e1 ) string-num_points
how many games has e0 played	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-num_games_played
which player had the same number of points in the season as e0	SW.filter var-s string-num_points string-= ( SW.getProperty string-player  string-num_points ) ( SW.domain string-player ) ) string-player
which player gives up te same number of turnovers as e0 each season	SW.filter var-s string-num_turnovers string-= ( SW.getProperty string-player  string-num_turnovers ) ( SW.domain string-player ) ) string-player
in what position was e0 able  to make 3 blocks	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-position
what position did e0 play when his allseason turnovers equaled 3	SW.getProperty ( SW.filter string-player  string-num_turnovers string-= number3 turnover ) string-position
what player had 3 or less steals this season	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-<= ( SW.ensureNumericEntity number3 steal ) ( SW.domain string-player ) ) string-player
what players are associated with one or no team	SW.countComparative var-s string-team string-< number2 ( SW.domain string-player ) ) string-player
position of player e0 with 3 steals over a season	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-position
what players have played less than 3 games over all seasons	SW.filter var-s SW.ensureNumericProperty string-num_games_played  string-< ( SW.ensureNumericEntity number3 game ) ( SW.domain string-player ) ) string-player
player e0 has given 3 fouls over this season	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-num_steals
in what year did e0 have three fouls	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-season
what was the position of e0 in the season he made 3 turnovers	SW.getProperty ( SW.filter string-player  string-num_turnovers string-= number3 turnover ) string-position
number of blocks over a season of player e0 from team e1	SW.getProperty ( SW.filter string-player  string-team string-= e1 ) string-num_blocks
how many games has e0 played	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-num_games_played
which players have had the least amount of turnovers in any one particular season	SW.superlative var-s string-min SW.ensureNumericProperty string-num_turnovers  ( SW.domain string-player ) ) string-player
whats e0 season turnover average	SW.getProperty string-player  string-num_turnovers
how many games did e0 play for the e1	SW.getProperty ( SW.filter string-player  string-team string-= e1 ) string-num_games_played
what players had less blocks than e0 over all seasons	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-< ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_blocks ) ) ( SW.domain string-player ) ) string-player
how many turnovers in the season did e0 have for the e1	SW.getProperty ( SW.filter string-player  string-team string-= e1 ) string-num_turnovers
player with less than 3 turnovers in a season	SW.filter var-s SW.ensureNumericProperty string-num_turnovers  string-< ( SW.ensureNumericEntity number3 turnover ) ( SW.domain string-player ) ) string-player
who played the fewest games in a season	SW.superlative var-s string-min SW.ensureNumericProperty string-num_games_played  ( SW.domain string-player ) ) string-player
how many fouls were played by e0 after having 3 rebounds	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-num_fouls
how many teams are there	.size entity-en.team
which players are e0 or e1	SW.filter var-s string-position string-= SW.concat ( SW.domain string-player ) ) string-player
players that have the same number of points in a season as e0 lowest amount	SW.filter var-s SW.ensureNumericProperty string-num_points  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_points ) ) ( SW.domain string-player ) ) string-player
which player has as many fouls as e0	SW.filter var-s string-num_fouls string-= ( SW.getProperty string-player  string-num_fouls ) ( SW.domain string-player ) ) string-player
who has had the same or more assists than e0	SW.filter var-s SW.ensureNumericProperty string-num_assists  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_assists ) ) ( SW.domain string-player ) ) string-player
player with not more turnovers over a season than player e0 over a season	SW.filter var-s SW.ensureNumericProperty string-num_turnovers  string-<= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_turnovers ) ) ( SW.domain string-player ) ) string-player
in which seasons e0 made 3 assists	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-season
how many rebounds did e0 have this season	SW.getProperty string-player  string-num_rebounds
how many assists did e0 make in a season with steals over 3	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-num_assists
in the season in which he made 3 steals how many games was e0 in	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-num_games_played
which player played less than three games	SW.filter var-s SW.ensureNumericProperty string-num_games_played  string-< ( SW.ensureNumericEntity number3 game ) ( SW.domain string-player ) ) string-player
who gets 3 or more turnovers each season	SW.filter var-s SW.ensureNumericProperty string-num_turnovers  string->= ( SW.ensureNumericEntity number3 turnover ) ( SW.domain string-player ) ) string-player
are there players whose total number of assists in any one given season equals at most 3	SW.filter var-s SW.ensureNumericProperty string-num_assists  string-<= ( SW.ensureNumericEntity number3 assist ) ( SW.domain string-player ) ) string-player
stats of e0 during d1 season	SW.getProperty ( SW.filter string-player  string-season string-= d1 ) string-season
who has played for the least number of teams	SW.countSuperlative var-s string-min string-team ( SW.domain string-player ) ) string-player
whos got more than 3 assists each season	SW.filter var-s SW.ensureNumericProperty string-num_assists  string->= ( SW.ensureNumericEntity number3 assist ) ( SW.domain string-player ) ) string-player
what player has the most turnovers in a season	SW.superlative var-s string-max SW.ensureNumericProperty string-num_turnovers  ( SW.domain string-player ) ) string-player
how many steals e0 made in the season he made 3 assists	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_steals
how many fouls does e0 average in seasons limited to 3 rebounds	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-num_assists
which team does e0 play for which has less than 3 turnovers	SW.getProperty ( SW.filter string-player  string-num_turnovers string-= number3 turnover ) string-team
what player had less than 3 blocks	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-< ( SW.ensureNumericEntity number3 block ) ( SW.domain string-player ) ) string-player
how many career turnovers has e0 has	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-num_turnovers
player not with 3 blocks over a season	SW.filter var-s string-num_blocks string-!= number3 block ( SW.domain string-player ) ) string-player
name a player with no more than three fouls	SW.filter var-s SW.ensureNumericProperty string-num_fouls  string-<= ( SW.ensureNumericEntity number3 foul ) ( SW.domain string-player ) ) string-player
how many blocks has e0 made playing e1	SW.getProperty ( SW.filter string-player  string-position string-= e1 ) string-num_blocks
what position did e0 play on the e1	SW.getProperty ( SW.filter string-player  string-team string-= e1 ) string-position
what players have the same number of turnovers over all their seasons equal to or worse than that of e0	SW.filter var-s SW.ensureNumericProperty string-num_turnovers  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_turnovers ) ) ( SW.domain string-player ) ) string-player
what player has fewer blocks per season than e0	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-< ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_blocks ) ) ( SW.domain string-player ) ) string-player
when e0 had 3 assists in a season what was his position	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-position
how many seasons has e0 broken 3 turnovers	SW.getProperty ( SW.filter string-player  string-num_turnovers string-= number3 turnover ) string-season
how many teams are there	.size entity-en.team
how many fouls did e0 have when he had 3 blocks	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_fouls
what was the total number of steals in seasons where e0 had only played three games	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-num_steals
which player did not play in d0 or d1	SW.filter var-s string-season string-= SW.concat ( SW.domain string-player ) ) string-player
which player had more than three fouls in the season	SW.filter var-s SW.ensureNumericProperty string-num_fouls  string-> ( SW.ensureNumericEntity number3 foul ) ( SW.domain string-player ) ) string-player
e0 got 3 steals	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-num_steals
what player had more steals than e0 this season	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_steals ) ) ( SW.domain string-player ) ) string-player
how many turnovers e0 made in season d1	SW.getProperty ( SW.filter string-player  string-season string-= d1 ) string-num_turnovers
how many fouls has e0 had	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_fouls
who has had the least amount of blocks	SW.superlative var-s string-min SW.ensureNumericProperty string-num_blocks  ( SW.domain string-player ) ) string-player
how many seasons has e0 scored more than 3 points	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-season
what player had less than 3 points	SW.filter var-s SW.ensureNumericProperty string-num_points  string-< ( SW.ensureNumericEntity number3 point ) ( SW.domain string-player ) ) string-player
what position did e0 play when he had 3 blocks in a season	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-position
how many fouls did e0 have when he had 3 points	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-num_fouls
how many assists did e0 make during a season	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_assists
what position did e0 play 3 games as	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-position
what players have had less steals than e0	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-< ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_steals ) ) ( SW.domain string-player ) ) string-player
how many fouls were committed by e0 over a season in which he made 3 steals	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-num_fouls
in what year did e0 play three games	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-num_games_played
how many points did e0 score this season	SW.getProperty string-player  string-num_points
during the year he played for the e0 how many fouls did e1 have	SW.getProperty ( SW.filter SW.getProperty e1 SW.reverse string-player  string-team string-= e0 ) string-num_fouls
which player doesnt average over 3 assists per game	SW.filter var-s string-num_assists string-!= number3 assist ( SW.domain string-player ) ) string-player
what player has more than 3 allseason blocks	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-> ( SW.ensureNumericEntity number3 block ) ( SW.domain string-player ) ) string-player
how many points did e0 score allseason when his steals equaled 3	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-num_points
how many steals did e0 have after 3 games	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-num_steals
what position does e0 play	SW.getProperty string-player  string-position
players who made less than 4 steals	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-<= ( SW.ensureNumericEntity number3 steal ) ( SW.domain string-player ) ) string-player
what players did not play in d0	SW.filter var-s string-season string-!= d0 ( SW.domain string-player ) ) string-player
which player leads e0 for rebounds per season	SW.filter var-s SW.ensureNumericProperty string-num_rebounds  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_rebounds ) ) ( SW.domain string-player ) ) string-player
who has more blocks per season than e0	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_blocks ) ) ( SW.domain string-player ) ) string-player
which player had fewer turnovers than three	SW.filter var-s SW.ensureNumericProperty string-num_turnovers  string-< ( SW.ensureNumericEntity number3 turnover ) ( SW.domain string-player ) ) string-player
who has the fewest assists per season	SW.superlative var-s string-min SW.ensureNumericProperty string-num_assists  ( SW.domain string-player ) ) string-player
what players had a total number of rebounds in a season not equal to three	SW.filter var-s string-num_rebounds string-!= number3 rebound ( SW.domain string-player ) ) string-player
team of player e0 who has 3 rebounds over a season	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-team
how many points did e0 score in the season	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_points
how many points had e0 scored after 3 rebounds	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-num_points
how many points did e0 who had three fouls have	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-num_points
how many assists has e0 had	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-num_assists
players that have more steals than e0 over all seasons	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_steals ) ) ( SW.domain string-player ) ) string-player
either e0 or e1	SW.concat
player who made less than 4 blocks over a season	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-<= ( SW.ensureNumericEntity number3 block ) ( SW.domain string-player ) ) string-player
who has had the same number of turnovers as e0	SW.filter var-s string-num_fouls string-= ( SW.getProperty string-player  string-num_fouls ) ( SW.domain string-player ) ) string-player
what position did e0 play in d1	SW.getProperty ( SW.filter string-player  string-season string-= d1 ) string-position
how many games e0 played in e1 position over a season	SW.getProperty ( SW.filter string-player  string-position string-= e1 ) string-num_games_played
how many turnovers has e0 made in 3 games	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-num_turnovers
which is the team of e0 who has played 3 games	SW.getProperty ( SW.filter string-player  string-num_games_played string-= number3 game ) string-team
how many blocks did player e0 have with 3 assists over this season	SW.getProperty ( SW.filter string-player  string-num_assists string-= number3 assist ) string-num_blocks
what players made blocks same as maximum blocks by e0 over a season	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string-<= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_blocks ) ) ( SW.domain string-player ) ) string-player
who has 3 or more steals in a season	SW.filter var-s SW.ensureNumericProperty string-num_steals  string->= ( SW.ensureNumericEntity number3 steal ) ( SW.domain string-player ) ) string-player
what was the total number of season where e0 had just three rebounds	SW.getProperty ( SW.filter string-player  string-num_rebounds string-= number3 rebound ) string-num_rebounds
find players who have performed blocks in any one season tallying to the same amount as those blocks performed by e0 in any one season	SW.filter var-s SW.ensureNumericProperty string-num_blocks  string->= ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_blocks ) ) ( SW.domain string-player ) ) string-player
what was the total number of rebounds of e0 in season where he only had three blocks	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_rebounds
how many did e0 play so far this year	SW.getProperty string-player  string-num_games_played
what position did e0 get 3 steals as	SW.getProperty ( SW.filter string-player  string-num_steals string-= number3 steal ) string-position
players that have more and less than 3 fouls over all seasons	SW.filter var-s string-num_fouls string-!= number3 foul ( SW.domain string-player ) ) string-player
what was the total number of fouls in a season for e0 when he had only three blocks	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_fouls
what player has more or less than 3 all season rebounds	SW.filter var-s string-num_rebounds string-!= number3 rebound ( SW.domain string-player ) ) string-player
what players have played during the same seasons as e0	SW.filter var-s string-season string-= ( SW.getProperty string-player  string-season ) ( SW.domain string-player ) ) string-player
whats the number of assists e0 gets in a season when hes got 3 or more blocks	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_assists
what player played 3 or more games	SW.filter var-s SW.ensureNumericProperty string-num_games_played  string->= ( SW.ensureNumericEntity number3 game ) ( SW.domain string-player ) ) string-player
players that average at least three assists per game over a season	SW.filter var-s SW.ensureNumericProperty string-num_assists  string->= ( SW.ensureNumericEntity number3 assist ) ( SW.domain string-player ) ) string-player
what team did e0 have 3 fouls for	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-team
how many turnovers did e0 get after scoring 3 points	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-num_turnovers
how many rebounds did e0 have over a season	SW.getProperty ( SW.filter string-player  string-team string-= en.team.lakers ) string-num_rebounds
how many blocks did e0 have this season	SW.getProperty string-player  string-num_blocks
which player has the most assists over a season other than e0	SW.filter var-s SW.ensureNumericProperty string-num_assists  string-> ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_assists ) ) ( SW.domain string-player ) ) string-player
player whose number of steals over a season is less than that of  of player e0 over a season	SW.filter var-s SW.ensureNumericProperty string-num_steals  string-< ( SW.ensureNumericEntity ( SW.getProperty string-player  string-num_steals ) ) ( SW.domain string-player ) ) string-player
name a player with more than three rebounds this season	SW.filter var-s SW.ensureNumericProperty string-num_rebounds  string-> ( SW.ensureNumericEntity number3 rebound ) ( SW.domain string-player ) ) string-player
what players made less than 4 fouls	SW.filter var-s SW.ensureNumericProperty string-num_fouls  string-<= ( SW.ensureNumericEntity number3 foul ) ( SW.domain string-player ) ) string-player
player who plays the same position as e0	SW.filter var-s string-position string-= ( SW.getProperty string-player  string-position ) ( SW.domain string-player ) ) string-player
which player has played no more than three games	SW.filter var-s SW.ensureNumericProperty string-num_games_played  string-<= ( SW.ensureNumericEntity number3 game ) ( SW.domain string-player ) ) string-player
steals by e0 over all seasons with 3 or more points	SW.getProperty ( SW.filter string-player  string-num_points string-= number3 point ) string-num_steals
number of fouls of e0 who has 3 blocks	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_fouls
how many steals did e0 have in the d1 season	SW.getProperty ( SW.filter string-player  string-season string-= d1 ) string-num_steals
what team did e0 play for while having only 3 fouls in a season	SW.getProperty ( SW.filter string-player  string-num_fouls string-= number3 foul ) string-team
which player has had the fewest fouls	SW.superlative var-s string-min SW.ensureNumericProperty string-num_fouls  ( SW.domain string-player ) ) string-player
how many points were scored by e0 when he made 3 blocks	SW.getProperty ( SW.filter string-player  string-num_blocks string-= number3 block ) string-num_points
