units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
e0 with a cheaper rent than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
what housing unit has 2 or more types	SW.countComparative entity-en.housing_unit string-housing_type string->= number2
housing posted the same day as e0	SW.filter entity-en.housing_unit string-posting_date string-= SW.getProperty e0 string-posting_date
what housing unit in the same neighborhood as e0 was posted on jan 2	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) SW.reverse string-neighborhood string-= e0
which housing unit allows dogs and cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-allows_cats
which housing unit with a rent of 1500 dollars per month permits cats in it	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-rent string-= number1500 en.dollar
private housing in e0	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-neighborhood string-= e0
housing that was posted on d0 of e0 kind	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) SW.reverse string-posting_date string-= e0
what kind of housing offers 800 square feet and allows cats	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-allows_cats
neighborhoods with housing that is 1500month	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar )
which neighborhood is e0 in	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= e0
e0 with a private bathroom for rent at 1500	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-has_private_bath
housing that posted on the same day at e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
what neighborhood is the 800 square foot e0 in	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet )
housing like e0 that was posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d1 ) SW.reverse string-size string-= e0
rarest housing type	SW.countSuperlative entity-en.housing string-min SW.reverse string-housing_type entity-en.housing_unit
housing posted before or on the same day as e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
e0 in the e1 neighborhood	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-neighborhood string-= e1
e0 with a private bath for rent at 1500	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-rent string-= number1500 en.dollar
find housing units with the most number of neighborhoods	SW.countSuperlative entity-en.housing_unit string-max string-neighborhood
want a housing type like e0	SW.filter ( SW.filter entity-en.housing SW.reverse string-housing_type string-= e0 ) SW.reverse string-housing_type string-= e0
show me housing in e0 or e1	SW.filter entity-en.housing_unit string-neighborhood string-= SW.concat
housing in e0 neighborhood posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-posting_date string-= d1
housing that has at least two neighborhood	SW.countComparative entity-en.housing_unit string-neighborhood string->= number2
cats permitted in unit	SW.filter entity-en.housing_unit string-allows_cats
housing unit posted d0 and the same rent as e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) SW.reverse string-rent string-= e0
housing that allows dogs and was posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-posting_date string-= d0
housing unit with a private room	SW.filter entity-en.housing_unit string-has_private_room
which housing unit with an area of 800 square feet has a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-size string-= number800 en.square_feet
how big is the housing unit	string-sum SW.getProperty entity-en.housing_unit string-size
housing unit that is cheaper than 1500 dollars	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-< ( SW.ensureNumericEntity number1500 en.dollar )
area around e0	SW.getProperty e0 string-neighborhood
housing unit that allows cats and has a private bath	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-has_private_bath
housing with a private room that is 800 square feet total	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-has_private_room
which housing unit is bigger  in area by 800 square feet or 1000 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity SW.concat )
housing unit at most 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity number800 en.square_feet )
e0 with a private room	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-has_private_room
housing of two types	SW.countComparative entity-en.housing SW.reverse string-housing_type string-= number2 entity-en.housing_unit
what neighborhood was the housing unit posted on jan 2	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 )
find housing units with just one neighborhood	SW.countComparative entity-en.housing_unit string-neighborhood string-< number2
where are the most number of housing units found	SW.countSuperlative entity-en.neighborhood string-max SW.reverse string-neighborhood entity-en.housing_unit
neighborhoods of housing units that allows cats	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-allows_cats )
find housing units of the type e0	SW.filter entity-en.housing SW.reverse string-housing_type string-= ( SW.filter entity-en.housing_unit string-housing_type string-= e0 )
housing costing more than 1500 dollars per month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity number1500 en.dollar )
condomonium or flat	SW.concat
housing of 800 square feet posted on d0	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-posting_date string-= d0
find housing units with 1500 dollars to 2000 as rent	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity SW.concat )
housing that is either an e0 or townhouse	SW.countComparative entity-en.housing SW.reverse string-housing_type string-> number2 entity-en.housing_unit
e0 with rent below 1500	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-< ( SW.ensureNumericEntity number1500 en.dollar )
e0 with rent between 1500 to 2000 dollars	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity SW.concat )
count of different units	.size entity-en.housing
housing that is 800 square feet with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-size string-= number800 en.square_feet
neighborhoods with housing units with private rooms	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-has_private_room )
neighborhoods medtown west or e0	SW.concat
what is the most common housing type	SW.countSuperlative entity-en.housing string-max SW.reverse string-housing_type entity-en.housing_unit
housing with no more than two housing units	SW.countComparative entity-en.housing SW.reverse string-housing_type string-<= number2 entity-en.housing_unit
what housing unit is priced at 1500 dollars	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity number1500 en.dollar )
find housing units with a private room and has 1500 dollars as monthly rent	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-rent string-= number1500 en.dollar
housing unit that allows dogs and has a private bath	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-has_private_bath
show me housing in e0 where dogs are welcome	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-allows_dogs
find a housing unit posted on d0 with the same rent price as e0	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) SW.reverse string-rent string-= e0
which housing unit in the e0 area has a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-neighborhood string-= e0
find me a housing unti that chagres 1500 for rent and has a priiiiiiat bathroom	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-has_private_room
which housing units are at least 800 square feet in size	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity number800 en.square_feet )
housing the same size as e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
housing unit posted on d0	SW.filter entity-en.housing_unit string-neighborhood string-= ( SW.filter entity-en.housing_unit string-posting_date string-= d0 )
which neighborhoods have housing with a private bath	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-has_private_bath )
housing that is cheaper than 1500month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-< ( SW.ensureNumericEntity number1500 en.dollar )
which 1500monthly rentals are 800 square feet	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-size string-= number800 en.square_feet
how much is e0 per month	SW.getProperty e0 string-rent
which housing unit resembles e0 in size	SW.filter entity-en.housing_unit string-size string-= SW.getProperty e0 string-size
find housing that has a private room and bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-has_private_room
housing posted january 2nd that includes a private room	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-has_private_room
which housing unit with an area of 800 square feet has the facility of a private room	SW.filter ( SW.filter entity-en.housing_unit string-size string-= number800 en.square_feet ) string-has_private_room
what housing was posted no earlier than jan 2	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity date:2015:1:2 )
what housing unit  posted on jan 2 has a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-posting_date string-= date:2015:1:2
unit with one housing type	SW.countComparative entity-en.housing_unit string-housing_type string-< number2
housing that posted after d0 or d1	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-> ( SW.ensureNumericEntity SW.concat )
find housings unit posted on other dates except for january 2nd	SW.filter entity-en.housing_unit string-posting_date string-!= date:2015:1:2
housing that is 1500month and includes a private room	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-has_private_room
either 800 or 1000 square feet	SW.concat
what housing units are the same size as those in e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
find housing units with rental charges greater than e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
what housing is cat friendly and costs 1500 dollars	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-rent string-= number1500 en.dollar
find housing units posted after e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-posting_date  )
housing that was posted on d0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string->= ( SW.ensureNumericEntity d0 )
what is the neighborhood of the e0 that is pet friendly	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-allows_cats )
which housing unit belongs to the e0 kind with the facility of a private troom	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-housing_type string-= e0
unit larger than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity number800 en.square_feet )
e0 with a rent below 1500 a month	SW.filter entity-en.housing_unit string-rent string-!= number1500 en.dollar
find the housing unit with the most monthly rent	SW.superlative entity-en.housing_unit string-max SW.ensureNumericProperty string-rent
housing with the same rent as e0	SW.filter entity-en.housing_unit string-rent string-= SW.getProperty e0 string-rent
housing units outsizing e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-size  )
catfriendly e0 with a private bathroom	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-allows_cats
e0 that rent for at least 1500	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string->= ( SW.ensureNumericEntity number1500 en.dollar )
housing near e0	SW.getProperty e0 string-neighborhood
housing in e0 that was posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d1 ) string-neighborhood string-= e0
housing unit with a private bath and 1500 dollar rent	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-rent string-= number1500 en.dollar
housing with 2 surrounding neighborhoods	SW.countComparative entity-en.housing_unit string-neighborhood string-<= number2
e0 with a private room that rents for 1500 a month	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-has_private_room
housing that allows cats and is 1500 a month	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-allows_cats
which housing unit is posted on the posting date of e0	SW.filter entity-en.housing_unit string-posting_date string-= SW.getProperty e0 string-posting_date
what housing unit with a private room was posted on jan 2	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) string-has_private_room
housing e0 with a private bath	SW.filter ( SW.filter entity-en.housing_unit string-housing_type string-= e0 ) string-has_private_bath
e0 800 square feet and above	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string->= ( SW.ensureNumericEntity number800 en.square_feet )
what is the neighborhood of e0	SW.getProperty e0 string-neighborhood
seeking e0 or e1	SW.concat
e0 that have a private bath	SW.filter ( SW.filter entity-en.housing_unit string-has_private_bath ) string-has_private_bath
housing posted before d0 or d1	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-posting_date  string-< ( SW.ensureNumericEntity SW.concat )
find housing units that are pet friendly	SW.filter ( SW.filter entity-en.housing_unit string-allows_dogs ) string-allows_dogs
neighborhood that has two housing	SW.countComparative entity-en.neighborhood SW.reverse string-neighborhood string-= number2 entity-en.housing_unit
in which area is e0	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= e0
e0 with a private bath that also accepts cats	SW.filter ( SW.filter entity-en.housing_unit string-allows_cats ) string-has_private_bath
e0 or e1 housing	SW.concat
what kind of housing is e0 or e1	SW.filter entity-en.housing SW.reverse string-housing_type string-= SW.concat
housing that is at least 1500month or at least 2000month	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string->= ( SW.ensureNumericEntity SW.concat )
which housing unit has the smallest size	SW.superlative entity-en.housing_unit string-min SW.ensureNumericProperty string-size
800 square foot e0 for 1500 rent	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-size string-= number800 en.square_feet
housing that is 1500month with a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-rent string-= number1500 en.dollar
what housing unit posted was posted on jan 2	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= date:2015:1:2 ) SW.reverse string-posting_date string-= en.housing_unit.123_sesame_street
which housing has a monthly rent of 1500 dollars	SW.filter ( SW.filter entity-en.housing_unit string-rent string-= number1500 en.dollar ) string-rent string-= number1500 en.dollar
housing types of the most units	SW.countSuperlative entity-en.housing string-max SW.reverse string-housing_type entity-en.housing_unit
housing units in e0 that allow dogs	SW.filter ( SW.filter entity-en.housing_unit string-neighborhood string-= e0 ) string-allows_dogs
a twohousing unit	SW.countComparative entity-en.housing_unit string-housing_type string-= number2
what is the neighborhood of the  housing unit with a private room	SW.filter entity-en.neighborhood SW.reverse string-neighborhood string-= ( SW.filter entity-en.housing_unit string-has_private_room )
find a housing that is no more than 800 square feet	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-size  string-<= ( SW.ensureNumericEntity number800 en.square_feet )
show me housing that is the same type as e0	SW.filter ( SW.filter entity-en.housing SW.reverse string-housing_type string-= e0 ) SW.reverse string-housing_type string-= e0
which housing unit with a rent of 1500 dollars per month has a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-rent string-= number1500 en.dollar
housing kind of e0 that was posted on d1	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d1 ) SW.reverse string-housing_type string-= e0
housing that does not have a higher rent then e0	SW.filter entity-en.housing_unit SW.ensureNumericProperty string-rent  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-rent  )
a housing unit posted on d0 or d1	SW.filter entity-en.housing_unit string-posting_date string-= SW.concat
housing in the neighborhood of e0	SW.filter entity-en.housing_unit string-neighborhood string-= SW.getProperty e0 string-neighborhood
find a housing unit posted on d0 and that allows cats	SW.filter ( SW.filter entity-en.housing_unit string-posting_date string-= d0 ) string-allows_cats
